Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
71075,2014,6,1,5.6,3.8,0.6
71075,2014,6,2,6.8,-0.3,10
71075,2014,6,3,4.5,1.5,11
71075,2014,6,4,9.9,2.3,0.2
71075,2014,6,5,7,-3.6,0
71075,2014,6,6,6,-1.9,0
71075,2014,6,7,6.8,-4.6,0
71075,2014,6,8,2.3,-2.4,0.2
71075,2014,6,9,3.4,-1.8,6.6
71075,2014,6,10,8.1,-5,3.8
71075,2014,6,11,13.4,-5.1,0
71075,2014,6,12,8.2,-0.6,0
71075,2014,6,13,4.7,2.1,0
71075,2014,6,14,3.9,-0.4,14
71075,2014,6,15,2.6,-0.3,37.6
71075,2014,6,16,1.5,-3.3,0.4
71075,2014,6,17,6.1,-1.7,13.2
71075,2014,6,18,8.8,-3,0
71075,2014,6,19,5.8,-3.8,0
71075,2014,6,20,2.7,1.6,0
71075,2014,6,21,3.9,0.2,0
71075,2014,6,22,8,-3,0.2
71075,2014,6,23,2.4,-1.6,0
71075,2014,6,24,-0.3,-5,54
71075,2014,6,25,1.4,-4.1,49.4
71075,2014,6,26,1.4,-1.3,66.8
71075,2014,6,27,1.8,-0.5,5.6
71075,2014,6,28,0.4,-1.2,6.8
71075,2014,6,29,-0.9,-3.5,38
71075,2014,6,30,0.8,-5.2,26.8
71075,2014,7,1,4.1,-4,0.4
71075,2014,7,2,6.6,-2.8,0.8
71075,2014,7,3,7,-1.4,0
71075,2014,7,4,0.5,-1.1,0
71075,2014,7,5,0.1,-1.5,10.4
71075,2014,7,6,1.5,-1.2,15.4
71075,2014,7,7,4.5,-2.5,0.4
71075,2014,7,8,1.5,-3,0
71075,2014,7,9,-0.9,-3.3,0.2
71075,2014,7,10,0.1,-3.9,25.4
71075,2014,7,11,0.5,-3.6,2.8
71075,2014,7,12,0.1,-2.7,5.8
71075,2014,7,13,2.5,-7.3,4.4
71075,2014,7,14,5.8,-8,0
